GEO_ID	NAME	ZIP	S1901_C01_012E	S1901_C01_012M	S1901_C01_013E	S1901_C01_013M
id	Geographic Area Name	Zip Code	Estimate!!Households!!Median income (dollars)	Margin of Error!!Households MOE!!Median income (dollars)	Estimate!!Households!!Mean income (dollars)	Margin of Error!!Households MOE!!Mean income (dollars)
8600000US27298	ZCTA5 27298	27298	45095	5458	55645	4193
8600000US27299	ZCTA5 27299	27299	47854	5920	51929	5109
8600000US27301	ZCTA5 27301	27301	62490	5353	72909	5613
8600000US27302	ZCTA5 27302	27302	56230	4373	71665	3919
8600000US27305	ZCTA5 27305	27305	52551	10125	61283	11213
8600000US27306	ZCTA5 27306	27306	46475	7951	54239	5350
8600000US27310	ZCTA5 27310	27310	117039	17734	136119	14658
8600000US27311	ZCTA5 27311	27311	40769	7003	54652	11126
8600000US27312	ZCTA5 27312	27312	72315	4386	96893	5635
8600000US27313	ZCTA5 27313	27313	61914	9238	75692	6160
8600000US27314	ZCTA5 27314	27314	49417	26329	57697	9599
8600000US27315	ZCTA5 27315	27315	44722	9512	55234	6838
8600000US27316	ZCTA5 27316	27316	39570	9469	54277	7017
8600000US27317	ZCTA5 27317	27317	43754	2455	67942	18139
8600000US27320	ZCTA5 27320	27320	41771	2915	54965	2696
8600000US27325	ZCTA5 27325	27325	43333	9535	51878	6659
8600000US27326	ZCTA5 27326	27326	49053	9014	52940	6946
8600000US27330	ZCTA5 27330	27330	48744	3930	65114	3474
8600000US27332	ZCTA5 27332	27332	57649	3758	67232	2916
8600000US27340	ZCTA5 27340	27340	-	**	N	N
8600000US27341	ZCTA5 27341	27341	44789	3384	52615	4339
8600000US27343	ZCTA5 27343	27343	64244	16184	88171	17446
8600000US27344	ZCTA5 27344	27344	42680	2443	60241	5386
8600000US27349	ZCTA5 27349	27349	52547	5705	59651	5665
8600000US27350	ZCTA5 27350	27350	44147	11798	57996	6671
8600000US27355	ZCTA5 27355	27355	55812	5449	97698	57633
8600000US27356	ZCTA5 27356	27356	44485	15212	58196	13712
8600000US27357	ZCTA5 27357	27357	61101	10041	99667	22525
8600000US27358	ZCTA5 27358	27358	90909	10405	126972	11103
8600000US27360	ZCTA5 27360	27360	43661	1833	57277	2678
8600000US27370	ZCTA5 27370	27370	51748	3836	67855	5477
8600000US27371	ZCTA5 27371	27371	44085	7497	54726	5393
8600000US27376	ZCTA5 27376	27376	63278	10035	88437	15078
8600000US27377	ZCTA5 27377	27377	67332	13515	76672	6993
8600000US27379	ZCTA5 27379	27379	35086	7450	47086	5772
8600000US27401	ZCTA5 27401	27401	35153	2398	51662	3228
8600000US27403	ZCTA5 27403	27403	45566	4452	65527	4245
8600000US27405	ZCTA5 27405	27405	36462	2171	48033	2443
8600000US27406	ZCTA5 27406	27406	41097	1677	56358	2472
8600000US27407	ZCTA5 27407	27407	48127	2848	62395	3130
8600000US27408	ZCTA5 27408	27408	63965	2984	113928	7437
8600000US27409	ZCTA5 27409	27409	41455	4324	54958	5130
8600000US27410	ZCTA5 27410	27410	65755	2289	88669	3106
8600000US27455	ZCTA5 27455	27455	73263	3639	110425	8273
8600000US27501	ZCTA5 27501	27501	56338	3388	67026	3823
8600000US27502	ZCTA5 27502	27502	110513	5835	126029	5782
8600000US27503	ZCTA5 27503	27503	81016	28041	107226	16155
8600000US27504	ZCTA5 27504	27504	46944	6714	60914	5150
8600000US27505	ZCTA5 27505	27505	47696	4421	61700	6513
8600000US27507	ZCTA5 27507	27507	42602	15282	56316	12330
8600000US27508	ZCTA5 27508	27508	42981	13464	50618	8497
8600000US27509	ZCTA5 27509	27509	41467	3653	54188	4999
8600000US27510	ZCTA5 27510	27510	53155	4194	68668	5468
